nbh_id,latitude,longitude,walkscore,airbnb_count,other_count,avg_occupancy,median_price,sqft_price
273471,29.42216,-98.479162,57,229,25,51.6376,262500,246.25
271352,29.424127,-98.487186,74,225,6,52.68,605000,369.23
275804,29.44015,-98.427296,14,210,0,56.5571,131000,113.72
271349,29.427419,-98.472334,51,208,3,53.5433,253750,211.3
274033,29.415926,-98.474659,45,199,8,51.794,269950,165.95
271360,30.257782,-97.729723,88,395,25,58.6152,647500,717.92
271303,30.251526,-97.75729,78,323,39,65.387,767350,572.34
271325,30.270654,-97.723717,84,321,13,60.7227,1025000,471.51
271574,30.247314,-97.744272,66,320,43,61.6281,961500,552.29
271653,30.294407,-97.753689,33,237,30,48.5781,1062000,463.5
422770,32.692178,-97.313003,23,139,4,54.9712,139900,0.0
233172,32.72435,-97.337655,57,106,51,53.0472,397000,231.18
422844,32.748024,-97.374967,67,103,31,58.6408,459750,233.68
422756,32.721106,-97.349569,35,102,5,53.1765,599000,233.27
199281,32.740245,-97.386999,65,94,15,61.6383,349950,220.49
276189,32.789649,-96.79842,85,253,464,57.0553,515000,365.29
273854,32.777394,-96.800519,89,236,29,47.8559,254950,258.16
273707,32.77811,-96.789385,71,231,116,50.026,420000,201.7
273261,32.786924,-96.79673,90,229,32,60.1397,399000,236.95
272701,32.822061,-96.776961,53,198,605,47.1869,461000,264.09
271389,29.757098,-95.379766,78,190,44,49.5474,429000,223.72
403557,29.746891,-95.396128,82,185,26,57.4595,661950,280.2
271469,29.743116,-95.375033,81,170,45,59.6588,374900,180.51
271298,29.724696,-95.383169,76,163,51,46.9571,425000,208.01
274488,29.709901,-95.396508,58,125,6,44.152,514950,184.3
274853,37.818422,-122.258283,84,154,17,62.2532,484000,728.1
268153,37.847508,-122.257011,85,154,0,61.9545,650000,0.0
268456,37.842128,-122.273305,75,147,0,66.9048,1398000,523.2
274232,37.807743,-122.255394,85,145,9,63.269,743500,569.75
275678,37.832532,-122.259819,90,145,5,62.6207,1274000,646.93
115295,34.13759,-118.297695,5,498,115,69.5723,1899000,717.33
32059,34.090929,-118.3244,84,310,562,64.3065,1199000,709.37
268404,34.048072,-118.274808,89,231,41,63.9481,1295000,813.75
276450,34.07418,-118.367366,90,215,335,65.6233,1955000,929.6
275024,34.053022,-118.383312,95,187,1297,49.6096,1322000,775.33
417519,37.762764,-122.440979,89,244,7,60.6148,1587000,1106.89
417522,37.775355,-122.446049,91,215,13,62.9535,1180000,1054.46
118904,37.781412,-122.43151,96,214,0,63.5888,828000,814.88
268201,37.768094,-122.448285,96,201,22,61.8657,1475000,1154.84
274552,37.759918,-122.415902,91,188,37,60.9202,1449000,1039.65
273808,32.711433,-117.160219,95,247,52,46.4372,695000,678.39
268215,32.714146,-117.163782,97,234,27,47.6966,1000000,736.68
273355,32.722279,-117.156819,90,212,38,60.8868,414500,483.76
117156,32.80483,-117.237967,71,176,146,52.4716,999000,833.55
268012,32.730371,-117.146575,35,157,6,49.8981,529999,520.74
416300,33.741496,-118.16248,0,296,0,71.4561,519757,0.0
416314,33.780785,-118.183681,88,241,9,53.1535,999500,349.31
416306,33.772632,-118.184178,94,239,39,56.4519,389900,496.26
273486,33.766596,-118.193824,88,205,68,51.3561,499999,549.28
416302,33.766154,-118.174135,74,199,28,56.8844,869000,586.96
272845,26.152923,-80.117104,69,117,6,48.3846,769400,452.89
269088,26.145263,-80.135855,64,114,41,49.3596,414600,281.6
269147,26.150204,-80.125428,51,111,21,45.6216,499000,330.14
269049,26.139869,-80.129327,77,101,82,46.8515,448750,265.54
269064,26.142297,-80.119273,78,97,19,45.8866,569950,312.9
269011,30.300566,-81.433156,2,131,43,59.4504,359000,211.17
269165,30.336035,-81.695712,35,123,12,67.9675,89900,96.58
268927,30.343015,-81.694375,28,108,10,68.9815,75000,73.66
273667,30.351152,-81.628436,25,71,6,67.3803,70000,58.59
274173,30.347622,-81.705245,14,66,4,67.2424,82500,74.15
124197,27.986044,-82.516656,48,197,145,58.6091,264000,182.6
269130,27.930219,-82.424083,1,98,31,52.6122,199000,0.0
272893,27.971055,-82.397556,23,77,31,57.4675,142500,121.46
273739,27.971354,-82.397891,15,76,20,54.5395,203000,177.45
274847,27.950663,-82.495509,72,75,7,49.4933,544600,226.88
806852,30.302658,-87.440565,6,246,6,58.2033,575000,355.74
806850,30.438083,-87.244621,48,198,0,67.6768,115000,0.0
806851,30.451633,-87.242579,26,185,0,66.8649,81250,77.03
764088,30.462924,-87.173597,0,132,2,67.8409,276950,140.32
124368,30.421309,-87.2169149,66,124,288,64.1613,444900,211.51
417159,27.786525,-82.658302,52,51,15,61.0392,147000,0.0
417189,27.839306,-82.613463,1,46,2,61.7609,820000,0.0
417154,27.774725,-82.650739,77,45,24,58.2222,712000,329.94
417161,27.78796,-82.642609,64,44,9,60.3636,939000,0.0
417160,27.78657,-82.650829,64,43,23,58.9767,525000,0.0
270895,40.72756,-73.993719,100,364,261,63.9451,1995000,0.0
270842,40.75182,-73.988151,100,301,95,60.6013,1650000,1690.92
270953,40.753292,-73.969031,100,254,298,54.4055,905000,1438.31
403221,40.65908,-73.955115,95,246,149,36.6301,1100000,631.62
270946,40.758477,-73.964818,100,243,636,48.2305,1350000,1545.39
270798,42.876415,-78.829439,49,183,0,54.1366,84950,37.53
270807,42.906409,-78.876184,85,180,30,56.4667,199900,235.14
270840,42.905765,-78.889424,87,160,12,56.6188,199000,104.95
272750,42.897709,-78.876489,94,142,36,54.9718,219900,175.14
273455,42.917359,-78.866819,69,129,16,52.7597,289900,246.94
343878,43.147698,-77.596483,93,98,9,61.2245,191950,110.92
343912,43.144733,-77.605988,86,88,20,62.8182,209900,95.27
343893,43.138548,-77.592158,81,79,22,60.3544,200000,104.31
343894,43.136337,-77.600833,80,79,3,59.9494,189900,124.34
343908,43.147289,-77.576488,77,76,95,60.3684,299900,128.31
342690,42.653258,-73.764419,93,75,3,62.64,272500,129.02
342684,42.654118,-73.773512,82,74,7,64.7432,255950,96.09
342689,42.658212,-73.764816,95,73,6,59.2466,154500,60.55
342678,42.657516,-73.757996,88,66,7,60.0,217450,128.55
342685,42.645251,-73.758269,91,64,9,62.5938,149900,75.6
274643,43.049515,-76.129859,81,45,2,59.8444,175000,126.48
275818,43.04,-76.135699,87,45,9,58.9333,441585,0.0
274645,43.057465,-76.140714,76,42,3,59.5238,84900,87.33
276644,43.04109,-76.121704,79,39,6,60.3077,177400,84.81
274314,43.058604,-76.127179,55,37,6,58.5405,120000,76.41
403138,38.880628,-77.054984,9,477,329,68.6897,529000,0.0
403491,38.904914,-77.010625,94,316,13,69.5791,749900,662.17
121750,38.916935,-77.018105,84,283,7,69.6396,875000,623.58
403490,38.901884,-77.007827,95,272,54,69.8051,862450,653.98
403492,38.895782,-77.010958,94,255,99,69.9882,299985,667.76
