city_id,city,state,occupancy,total_listing
25281,San Antonio,TX,56.79701307,8140
23400,Austin,TX,52.78377538,4919
40147,Fort Worth,TX,55.89322404,3326
8521,Dallas,TX,55.94303226,2748
28719,Houston,TX,52.86381765,2638
7299,Oakland,CA,63.6389594,6979
19610,Los Angeles,CA,66.47939255,5552
24367,San Francisco,CA,60.9808875,5069
11591,San Diego,CA,61.3579877,4513
6903,Long Beach,CA,63.22708824,4043
30397,Fort Lauderdale,FL,51.41392143,3889
25009,Jacksonville,FL,61.41788556,2346
11962,Tampa,FL,54.10338243,2344
15551,Pensacola,FL,68.86125429,1761
49636,Saint Petersburg,FL,58.40938017,1901
35389,New York,NY,52.05615321,13726
12326,Buffalo,NY,53.4585549,2479
25740,Rochester,NY,61.4076027,1241
17353,Albany,NY,64.09545,815
38473,Syracuse,NY,60.77326538,398
31548,Washington,DC,53.70082593,7025
