nbh_id,name,county,state
273471,Dignowity Hill-St. Paul Square,Bexar,TX
271352,Downtown,Bexar,TX
275804,United Homeowners,Bexar,TX
271349,Dignowity Hill,Bexar,TX
274033,Historic Gardens,Bexar,TX
271360,East Cesar Chavez,Travis,TX
271303,Bouldin,Travis,TX
271325,Central East Austin,Travis,TX
271574,South River City,Travis,TX
271653,Windsor Road,Travis,TX
422770,Carter Park,Tarrant,TX
233172,Fairmount,Tarrant,TX
422844,North Hi Mount,Tarrant,TX
422756,Berkeley Place,Tarrant,TX
199281,Arlington Heights,Tarrant,TX
276189,Arts District,Dallas,TX
273854,Government District,Dallas,TX
273707,Farmers Market District,Dallas,TX
273261,City Center District,Dallas,TX
272701,M Streets,Dallas,TX
271389,Fourth Ward,Harris,TX
403557,Montrose,Harris,TX
271469,Midtown,Harris,TX
271298,Binz,Harris,TX
274488,Medical Center Area,Harris,TX
274853,Oakland Ave-Harrison St,Alameda,CA
268153,Fairview Park,Alameda,CA
268456,Santa Fe,Alameda,CA
274232,Lake Merritt,Alameda,CA
275678,Temescal,Alameda,CA
115295,Glendale,Los Angeles,CA
32059,Hollywood,Los Angeles,CA
268404,Pico-Union,Los Angeles,CA
276450,Mid City West,Los Angeles,CA
275024,Pico-Robertson,Los Angeles,CA
417519,Corona Heights,San Francisco,CA
417522,North Panhandle,San Francisco,CA
118904,Western Addition,San Francisco,CA
268201,Haight Ashbury,San Francisco,CA
274552,Mission,San Francisco,CA
273808,Gaslamp Quarter,San Diego,CA
268215,Horton Plaza,San Diego,CA
273355,Cortez Hill,San Diego,CA
117156,Pacific Beach,San Diego,CA
268012,Balboa Park,San Diego,CA
416300,Freeman Island,Los Angeles,CA
416314,Saint Mary's,Los Angeles,CA
416306,East Village,Los Angeles,CA
273486,Downtown,Los Angeles,CA
416302,Alamitos Beach,Los Angeles,CA
272845,Bal Harbour,Broward,FL
269088,Middle River Terrace,Broward,FL
269147,Poinsettia Heights,Broward,FL
269049,Lake Ridge,Broward,FL
269064,Laudergate Isles,Broward,FL
269011,Holiday Harbors,Duval,FL
269165,Robinson's Addition,Duval,FL
268927,College Gardens,Duval,FL
273667,Fairfield,Duval,FL
274173,Kennel Club,Duval,FL
124197,Drew Park,Hillsborough,FL
269130,Palmetto Beach,Hillsborough,FL
272893,Beasley,Hillsborough,FL
273739,Florence,Hillsborough,FL
274847,Oakford Park,Hillsborough,FL
806852,Gulf Beach,"",FL
806850,Englewood,"",FL
806851,Palafox,"",FL
764088,Brittany Forge,"",FL
124368,Ferry Pass,Escambia,FL
417159,Woodlawn Oaks,Pinellas,FL
417189,Harbor Isle,Pinellas,FL
417154,Methodist Town,Pinellas,FL
417161,Crescent Lake,Pinellas,FL
417160,Euclid-St Pauls,Pinellas,FL
270895,NoHo,New York,NY
270842,Garment District,New York,NY
270953,Turtle Bay,New York,NY
403221,Prospect Lefferts Gardens,Kings,NY
270946,Sutton Place,New York,NY
270798,Babcock,Erie,NY
270807,Bryant,Erie,NY
270840,Front Park,Erie,NY
272750,Allen,Erie,NY
273455,Delaware-West Ferry,Erie,NY
343878,Pearl-Meigs-Monroe,Monroe County,NY
343912,South Wedge,Monroe County,NY
343893,Swillburg,Monroe County,NY
343894,Ellwanger-Barry,Monroe County,NY
343908,Park Avenue,Monroe County,NY
342690,Center Square,Albany,NY
342684,Park South,Albany,NY
342689,Central Avenue,Albany,NY
342678,Sheridan Hollow,Albany,NY
342685,Mansion Area,Albany,NY
274643,Near Eastside,Onondaga,NY
275818,University Hill,Onondaga,NY
274645,Near Northeast,Onondaga,NY
276644,Wescott,Onondaga,NY
274314,Lincoln Park,Onondaga,NY
403138,Lady Bird Johnson Park,District of Columbia,DC
403491,Sursum Corda Cooperative,District of Columbia,DC
121750,Ledroit Park,District of Columbia,DC
403490,NoMa,District of Columbia,DC
403492,Swampoodle,District of Columbia,DC
