,County,Crime_RatePer100K,Murder,Rape,Robbery,Agg.Assault,Burglary,Larceny,MotorVeh Theft,Arson
9,"District of Columbia, DC",1216.801325,88,236,4037,3505,3519,23575,3663,51
57,"Escambia County, FL",798.51676,22,162,502,1756,3899,9920,680,52
71,"Alameda County, CA",753.6935735000001,153,477,6220,5050,13245,35841,13044,337
90,"San Francisco County, CA",701.4217103999999,69,110,3554,2141,5401,29256,5381,211
93,"Harris County, TX",696.1038338,307,1143,12449,16290,43644,114208,20829,1153
130,"New York County, NY",634.0093435,81,227,3932,6070,3623,22730,1592,0
142,"Duval County, FL",621.5464156,94,355,1436,3621,8025,27335,1712,96
233,"Pinellas County, FL",550.6712247,44,361,1206,3505,7392,24499,1755,167
352,"Broward County, FL",470.94805210000004,80,401,3408,4771,17400,45279,4320,180
370,"Erie County, NY",459.3060294,50,211,1602,2361,6019,19729,1481,341
396,"Los Angeles County, CA",444.80081399999995,600,1976,18923,23057,49107,142604,40555,2210
404,"Dallas County, TX",442.96507199999996,165,706,4889,5227,25141,59144,10235,692
432,"Bexar County, TX",431.06056849999993,101,649,2038,5047,18580,69589,7155,336
467,"Tarrant County, TX",416.156389,73,687,2167,5028,16077,46906,4559,228
586,"Onondaga County, NY",374.9036587,15,111,539,1091,2988,8553,592,63
605,"San Diego County, CA",368.6724057,107,692,3200,7840,14076,43412,12136,346
652,"Monroe County, NY",356.854134,41,175,1011,1447,4968,16774,976,233
661,"Hillsborough County, FL",353.83074039999997,53,187,1130,3200,7139,21548,1811,110
687,"Travis County, TX",345.42006180000004,32,236,997,2607,8244,36913,2419,152
749,"Albany County, NY",330.6781345,5,69,318,623,1497,7210,265,19
1497,"Austin County, TX",194.1276389,1,7,5,43,142,322,27,1
