,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Professional,Walk,OtherTransp,WorkAtHome,MeanCommute,Unemployment
186,California,Alameda County,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,41363,48.0,3.7,3.6,6.0,32.5,6.0
204,California,Los Angeles County,10105722,4979641,5126081,48.4,26.5,7.9,0.2,14.3,0.2,30798,36.4,2.7,2.3,5.3,30.9,7.8
222,California,San Diego County,3283665,1651147,1632518,33.4,46.2,4.7,0.4,11.5,0.4,34350,41.3,2.9,2.2,7.0,25.7,7.1
223,California,San Francisco County,864263,440633,423630,15.3,40.8,5.1,0.2,33.9,0.3,59508,55.0,11.1,7.1,6.7,32.8,5.4
319,District of Columbia,District of Columbia,672391,319046,353345,10.7,36.0,46.9,0.2,3.7,0.0,50832,61.7,13.2,6.2,5.7,30.0,8.0
325,Florida,Broward County,1890416,920265,970151,28.4,38.2,27.4,0.2,3.5,0.0,30109,35.6,1.2,2.1,4.9,28.2,7.6
334,Florida,Duval County,912043,442115,469928,9.0,54.1,29.3,0.2,4.6,0.1,28593,36.6,1.7,2.0,4.8,24.5,7.4
335,Florida,Escambia County,309924,153834,156090,5.5,64.8,21.6,0.4,2.8,0.1,25666,32.6,2.1,1.7,9.0,21.9,7.2
347,Florida,Hillsborough County,1351087,658639,692448,27.4,50.3,15.5,0.2,3.9,0.1,29806,38.4,1.5,1.9,6.2,27.3,6.8
363,Florida,Monroe County,76745,40218,36527,23.5,67.3,6.7,0.1,1.2,0.0,39176,30.8,4.6,10.8,5.9,17.8,3.7
371,Florida,Pinellas County,949842,456017,493825,9.2,74.7,10.0,0.2,3.3,0.1,32120,37.7,1.6,3.0,6.7,24.4,6.4
1828,New York,Albany County,308580,149287,159293,5.7,73.0,11.7,0.1,6.4,0.0,35278,44.7,4.6,1.6,3.5,20.4,5.3
1842,New York,Erie County,923995,447024,476971,5.2,76.0,13.0,0.4,3.4,0.0,31083,38.7,2.7,1.1,2.8,21.3,5.5
1855,New York,Monroe County,748680,361649,387031,8.3,71.0,14.5,0.2,3.6,0.0,31291,42.7,3.2,1.3,3.8,20.1,6.6
1858,New York,New York County,1653877,782142,871735,26.1,46.8,12.5,0.1,11.9,0.0,69529,60.0,20.4,5.6,6.7,31.8,6.2
1861,New York,Onondaga County,467669,225685,241984,4.7,77.1,10.7,0.5,3.9,0.0,31436,41.2,4.3,1.1,4.0,20.1,6.4
2530,Texas,Austin County,29292,14474,14818,25.9,63.3,8.9,0.0,0.2,0.0,30101,30.9,1.9,1.3,4.6,31.1,5.4
2537,Texas,Bexar County,1892004,932577,959427,59.8,28.4,7.0,0.2,2.6,0.1,26158,34.8,1.7,1.4,4.2,25.0,6.1
2579,Texas,Dallas County,2552213,1257751,1294462,39.6,30.2,22.1,0.2,6.0,0.0,29810,34.0,1.5,2.0,4.3,27.2,5.9
2588,Texas,Duval County,11434,5891,5543,89.3,9.0,1.4,0.0,0.3,0.0,19085,19.6,3.1,1.2,6.2,27.6,13.6
2623,Texas,Harris County,4525519,2251060,2274459,42.2,30.6,18.5,0.2,6.8,0.1,30856,35.4,1.5,1.9,3.7,28.9,6.4
2742,Texas,Tarrant County,1983675,971142,1012533,28.2,48.3,15.6,0.3,5.1,0.2,30857,36.6,1.2,1.2,4.3,27.0,5.4
2749,Texas,Travis County,1176584,593319,583265,33.9,49.3,7.9,0.2,6.3,0.0,38820,47.4,1.9,2.3,8.4,25.3,4.5
